Date,Location,Latitude,Longitude,Pathogen,Concentration_copies_per_mL,Population_Served,Outbreak_Period
2023-01-07,Central WWTP,24.71,46.67,Influenza B,2002.52,500000,True
2023-01-07,Central WWTP,24.71,46.67,Norovirus,1474.11,500000,True
2023-01-07,Central WWTP,24.71,46.67,Rotavirus,1284.78,500000,False
2023-01-08,Central WWTP,24.71,46.67,SARS-CoV-2,3444.5,500000,True
2023-01-08,Central WWTP,24.71,46.67,Influenza A,2319.48,500000,True
2023-01-08,Central WWTP,24.71,46.67,Influenza B,2340.9,500000,True
2023-01-08,Central WWTP,24.71,46.67,Norovirus,1481.45,500000,True
2023-01-08,Central WWTP,24.71,46.67,Rotavirus,1294.68,500000,False
2023-01-09,Central WWTP,24.71,46.67,SARS-CoV-2,3396.68,500000,True
2023-01-09,Central WWTP,24.71,46.67,Influenza A,2755.07,500000,True
2023-01-09,Central WWTP,24.71,46.67,Influenza B,2244.76,500000,True
2023-01-09,Central WWTP,24.71,46.67,Norovirus,1962.16,500000,True
2023-01-09,Central WWTP,24.71,46.67,Rotavirus,1300.85,500000,False
2023-01-10,Central WWTP,24.71,46.67,SARS-CoV-2,4383.34,500000,True
2023-01-10,Central WWTP,24.71,46.67,Influenza A,4155.8,500000,True
2023-01-10,Central WWTP,24.71,46.67,Influenza B,2694.51,500000,True
2023-01-10,Central WWTP,24.71,46.67,Norovirus,2182.66,500000,True
2023-01-10,Central WWTP,24.71,46.67,Rotavirus,1301.09,500000,False
2023-01-11,Central WWTP,24.71,46.67,SARS-CoV-2,5729.27,500000,True
2023-01-11,Central WWTP,24.71,46.67,Influenza A,3962.19,500000,True
2023-01-11,Central WWTP,24.71,46.67,Influenza B,3334.24,500000,True
2023-01-11,Central WWTP,24.71,46.67,Norovirus,2134.77,500000,True
2023-01-11,Central WWTP,24.71,46.67,Rotavirus,1370.3,500000,False
2023-01-12,Central WWTP,24.71,46.67,SARS-CoV-2,6398.99,500000,True
2023-01-12,Central WWTP,24.71,46.67,Influenza A,5475.96,500000,True
2023-01-12,Central WWTP,24.71,46.67,Influenza B,3879.67,500000,True
2023-01-12,Central WWTP,24.71,46.67,Norovirus,2854.41,500000,True
2023-01-12,Central WWTP,24.71,46.67,Rotavirus,1126.28,500000,False
2023-01-13,Central WWTP,24.71,46.67,SARS-CoV-2,9017.85,500000,True
2023-01-13,Central WWTP,24.71,46.67,Influenza A,6749.14,500000,True
2023-01-13,Central WWTP,24.71,46.67,Influenza B,4360.31,500000,True
2023-01-13,Central WWTP,24.71,46.67,Norovirus,3385.06,500000,True
2023-01-13,Central WWTP,24.71,46.67,Rotavirus,1345.17,500000,False
2023-01-14,Central WWTP,24.71,46.67,SARS-CoV-2,11510.24,500000,True
2023-01-14,Central WWTP,24.71,46.67,Influenza A,7974.27,500000,True
2023-01-14,Central WWTP,24.71,46.67,Influenza B,5681.19,500000,True
2023-01-14,Central WWTP,24.71,46.67,Norovirus,3882.87,500000,True
2023-01-14,Central WWTP,24.71,46.67,Rotavirus,1203.59,500000,False
2023-01-15,Central WWTP,24.71,46.67,SARS-CoV-2,12669.55,500000,True
2023-01-15,Central WWTP,24.71,46.67,Influenza A,34670.9,500000,True
2023-01-15,Central WWTP,24.71,46.67,Influenza B,28141.39,500000,True
2023-01-15,Central WWTP,24.71,46.67,Norovirus,5553.21,500000,True
2023-01-15,Central WWTP,24.71,46.67,Rotavirus,1271.1,500000,False
2023-01-16,Central WWTP,24.71,46.67,SARS-CoV-2,9676.15,500000,True
2023-01-16,Central WWTP,24.71,46.67,Influenza A,34675.88,500000,True
2023-01-16,Central WWTP,24.71,46.67,Influenza B,18693.27,500000,True
2023-01-16,Central WWTP,24.71,46.67,Norovirus,3752.26,500000,True
2023-01-16,Central WWTP,24.71,46.67,Rotavirus,1564.8,500000,False
2023-01-17,Central WWTP,24.71,46.67,SARS-CoV-2,8510.17,500000,True
2023-01-17,Central WWTP,24.71,46.67,Influenza A,26575.82,500000,True
2023-01-17,Central WWTP,24.71,46.67,Influenza B,16601.23,500000,True
2023-01-17,Central WWTP,24.71,46.67,Norovirus,3417.15,500000,True
2023-01-17,Central WWTP,24.71,46.67,Rotavirus,1056.01,500000,False
2023-01-18,Central WWTP,24.71,46.67,SARS-CoV-2,7887.01,500000,True
2023-01-18,Central WWTP,24.71,46.67,Influenza A,24866.39,500000,True
2023-01-18,Central WWTP,24.71,46.67,Influenza B,18068.39,500000,True
2023-01-18,Central WWTP,24.71,46.67,Norovirus,2842.43,500000,True
2023-01-18,Central WWTP,24.71,46.67,Rotavirus,1172.35,500000,False
2023-01-19,Central WWTP,24.71,46.67,SARS-CoV-2,4732.52,500000,True
2023-01-19,Central WWTP,24.71,46.67,Influenza A,16906.76,500000,True
2023-01-19,Central WWTP,24.71,46.67,Influenza B,14202.66,500000,True
2023-01-19,Central WWTP,24.71,46.67,Norovirus,2476.47,500000,True
2023-01-19,Central WWTP,24.71,46.67,Rotavirus,1342.6,500000,False
2023-01-20,Central WWTP,24.71,46.67,SARS-CoV-2,4675.56,500000,True
2023-01-20,Central WWTP,24.71,46.67,Influenza A,15052.82,500000,True
2023-01-20,Central WWTP,24.71,46.67,Influenza B,11903.53,500000,True
2023-01-20,Central WWTP,24.71,46.67,Norovirus,2002.6,500000,True
2023-01-20,Central WWTP,24.71,46.67,Rotavirus,992.64,500000,False
2023-01-21,Central WWTP,24.71,46.67,SARS-CoV-2,3490.8,500000,True
2023-01-21,Central WWTP,24.71,46.67,Influenza A,11221.44,500000,True
2023-01-21,Central WWTP,24.71,46.67,Influenza B,9589.44,500000,True
2023-01-21,Central WWTP,24.71,46.67,Norovirus,1875.66,500000,True
2023-01-21,Central WWTP,24.71,46.67,Rotavirus,1262.84,500000,False
2023-01-22,Central WWTP,24.71,46.67,SARS-CoV-2,3694.85,500000,True
2023-01-22,Central WWTP,24.71,46.67,Influenza A,8541.25,500000,True
2023-01-22,Central WWTP,24.71,46.67,Influenza B,8010.57,500000,True
2023-01-22,Central WWTP,24.71,46.67,Norovirus,1690.07,500000,True
2023-01-22,Central WWTP,24.71,46.67,Rotavirus,1139.11,500000,False
2023-01-23,Central WWTP,24.71,46.67,SARS-CoV-2,2237.9,500000,False
2023-01-23,Central WWTP,24.71,46.67,Influenza A,8334.74,500000,False
2023-01-23,Central WWTP,24.71,46.67,Influenza B,8638.63,500000,True
2023-01-23,Central WWTP,24.71,46.67,Norovirus,1447.82,500000,True
2023-01-23,Central WWTP,24.71,46.67,Rotavirus,1192.18,500000,False
2023-01-24,Central WWTP,24.71,46.67,SARS-CoV-2,2442.13,500000,False
2023-01-24,Central WWTP,24.71,46.67,Influenza A,7973.25,500000,False
2023-01-24,Central WWTP,24.71,46.67,Influenza B,6188.4,500000,True
2023-01-24,Central WWTP,24.71,46.67,Norovirus,1142.17,500000,True
2023-01-24,Central WWTP,24.71,46.67,Rotavirus,1094.29,500000,False
2023-01-25,Central WWTP,24.71,46.67,SARS-CoV-2,2062.12,500000,False
2023-01-25,Central WWTP,24.71,46.67,Influenza A,7685.62,500000,False
2023-01-25,Central WWTP,24.71,46.67,Influenza B,5474.37,500000,True
2023-01-25,Central WWTP,24.71,46.67,Norovirus,1101.31,500000,True
2023-01-25,Central WWTP,24.71,46.67,Rotavirus,1087.59,500000,False
2023-01-26,Central WWTP,24.71,46.67,SARS-CoV-2,2268.59,500000,False
2023-01-26,Central WWTP,24.71,46.67,Influenza A,7657.63,500000,False
2023-01-26,Central WWTP,24.71,46.67,Influenza B,8397.82,500000,False
2023-01-26,Central WWTP,24.71,46.67,Norovirus,1551.23,500000,False
2023-01-26,Central WWTP,24.71,46.67,Rotavirus,1353.69,500000,False
2023-01-27,Central WWTP,24.71,46.67,SARS-CoV-2,3465.41,500000,False
2023-01-27,Central WWTP,24.71,46.67,Influenza A,8126.67,500000,False
2023-01-27,Central WWTP,24.71,46.67,Influenza B,7068.8,500000,False
2023-01-27,Central WWTP,24.71,46.67,Norovirus,1612.18,500000,False
2023-01-27,Central WWTP,24.71,46.67,Rotavirus,1253.68,500000,False
2023-01-28,Central WWTP,24.71,46.67,SARS-CoV-2,2532.25,500000,False
2023-01-28,Central WWTP,24.71,46.67,Influenza A,7434.87,500000,False
2023-01-28,Central WWTP,24.71,46.67,Influenza B,7900.16,500000,False
2023-01-28,Central WWTP,24.71,46.67,Norovirus,1464.44,500000,False
2023-01-28,Central WWTP,24.71,46.67,Rotavirus,1236.27,500000,False
2023-01-29,Central WWTP,24.71,46.67,SARS-CoV-2,2789.84,500000,False
2023-01-29,Central WWTP,24.71,46.67,Influenza A,6607.11,500000,False
2023-01-29,Central WWTP,24.71,46.67,Influenza B,7967.24,500000,False
2023-01-29,Central WWTP,24.71,46.67,Norovirus,1610.57,500000,False
2023-01-29,Central WWTP,24.71,46.67,Rotavirus,1032.96,500000,False
2023-01-30,Central WWTP,24.71,46.67,SARS-CoV-2,2422.29,500000,False
2023-01-30,Central WWTP,24.71,46.67,Influenza A,7271.91,500000,False
2023-01-30,Central WWTP,24.71,46.67,Influenza B,8818.37,500000,False
2023-01-30,Central WWTP,24.71,46.67,Norovirus,5675.35,500000,False
2023-01-30,Central WWTP,24.71,46.67,Rotavirus,1296.94,500000,False
2023-01-31,Central WWTP,24.71,46.67,SARS-CoV-2,2550.68,500000,False
2023-01-31,Central WWTP,24.71,46.67,Influenza A,7247.0,500000,False
2023-01-31,Central WWTP,24.71,46.67,Influenza B,7559.59,500000,False
2023-01-31,Central WWTP,24.71,46.67,Norovirus,3778.42,500000,False
2023-01-31,Central WWTP,24.71,46.67,Rotavirus,1250.83,500000,False
2023-02-01,Central WWTP,24.71,46.67,SARS-CoV-2,2373.33,500000,False
2023-02-01,Central WWTP,24.71,46.67,Influenza A,7280.66,500000,False
2023-02-01,Central WWTP,24.71,46.67,Influenza B,6226.11,500000,False
2023-02-01,Central WWTP,24.71,46.67,Norovirus,5234.45,500000,False
2023-02-01,Central WWTP,24.71,46.67,Rotavirus,1235.98,500000,False
2023-02-02,Central WWTP,24.71,46.67,SARS-CoV-2,2306.13,500000,False
2023-02-02,Central WWTP,24.71,46.67,Influenza A,7087.75,500000,False
2023-02-02,Central WWTP,24.71,46.67,Influenza B,8922.56,500000,False
2023-02-02,Central WWTP,24.71,46.67,Norovirus,4224.8,500000,False
2023-02-02,Central WWTP,24.71,46.67,Rotavirus,1275.77,500000,False
2023-02-03,Central WWTP,24.71,46.67,SARS-CoV-2,2365.16,500000,False
2023-02-03,Central WWTP,24.71,46.67,Influenza A,8042.58,500000,False
2023-02-03,Central WWTP,24.71,46.67,Influenza B,7851.31,500000,False
2023-02-03,Central WWTP,24.71,46.67,Norovirus,4722.88,500000,False
2023-02-03,Central WWTP,24.71,46.67,Rotavirus,1220.95,500000,False
2023-02-04,Central WWTP,24.71,46.67,SARS-CoV-2,2493.29,500000,False
2023-02-04,Central WWTP,24.71,46.67,Influenza A,6691.23,500000,False
2023-02-04,Central WWTP,24.71,46.67,Influenza B,9041.76,500000,False
2023-02-04,Central WWTP,24.71,46.67,Norovirus,4048.93,500000,False
2023-02-04,Central WWTP,24.71,46.67,Rotavirus,1316.42,500000,False
2023-02-05,Central WWTP,24.71,46.67,SARS-CoV-2,2748.66,500000,False
2023-02-05,Central WWTP,24.71,46.67,Influenza A,7160.94,500000,False
2023-02-05,Central WWTP,24.71,46.67,Influenza B,7721.96,500000,False
2023-02-05,Central WWTP,24.71,46.67,Norovirus,5019.92,500000,False
2023-02-05,Central WWTP,24.71,46.67,Rotavirus,1070.19,500000,False
2023-02-06,Central WWTP,24.71,46.67,SARS-CoV-2,2373.26,500000,False
2023-02-06,Central WWTP,24.71,46.67,Influenza A,7474.01,500000,False
2023-02-06,Central WWTP,24.71,46.67,Influenza B,8616.44,500000,False
2023-02-06,Central WWTP,24.71,46.67,Norovirus,4630.75,500000,False
2023-02-06,Central WWTP,24.71,46.67,Rotavirus,1283.1,500000,False
2023-02-07,Central WWTP,24.71,46.67,SARS-CoV-2,2181.04,500000,False
2023-02-07,Central WWTP,24.71,46.67,Influenza A,7849.55,500000,False
2023-02-07,Central WWTP,24.71,46.67,Influenza B,6775.55,500000,False
2023-02-07,Central WWTP,24.71,46.67,Norovirus,4212.24,500000,False
2023-02-07,Central WWTP,24.71,46.67,Rotavirus,1318.07,500000,False
2023-02-08,Central WWTP,24.71,46.67,SARS-CoV-2,2115.05,500000,False
2023-02-08,Central WWTP,24.71,46.67,Influenza A,7068.64,500000,False
2023-02-08,Central WWTP,24.71,46.67,Influenza B,7064.24,500000,False
2023-02-08,Central WWTP,24.71,46.67,Norovirus,5046.2,500000,False
2023-02-08,Central WWTP,24.71,46.67,Rotavirus,1092.82,500000,False
2023-02-09,Central WWTP,24.71,46.67,SARS-CoV-2,2878.02,500000,False
2023-02-09,Central WWTP,24.71,46.67,Influenza A,7132.82,500000,False
2023-02-09,Central WWTP,24.71,46.67,Influenza B,8694.57,500000,False
2023-02-09,Central WWTP,24.71,46.67,Norovirus,4324.55,500000,False
2023-02-09,Central WWTP,24.71,46.67,Rotavirus,1415.5,500000,False
2023-02-10,Central WWTP,24.71,46.67,SARS-CoV-2,2458.9,500000,False
2023-02-10,Central WWTP,24.71,46.67,Influenza A,7958.67,500000,False
2023-02-10,Central WWTP,24.71,46.67,Influenza B,8048.34,500000,False
2023-02-10,Central WWTP,24.71,46.67,Norovirus,5413.31,500000,False
2023-02-10,Central WWTP,24.71,46.67,Rotavirus,1316.97,500000,False
2023-02-11,Central WWTP,24.71,46.67,SARS-CoV-2,2353.54,500000,False
2023-02-11,Central WWTP,24.71,46.67,Influenza A,7479.63,500000,False
2023-02-11,Central WWTP,24.71,46.67,Influenza B,7161.36,500000,False
2023-02-11,Central WWTP,24.71,46.67,Norovirus,4799.77,500000,False
2023-02-11,Central WWTP,24.71,46.67,Rotavirus,1235.45,500000,False
2023-02-12,Central WWTP,24.71,46.67,SARS-CoV-2,2412.54,500000,False
2023-02-12,Central WWTP,24.71,46.67,Influenza A,7092.24,500000,False
2023-02-12,Central WWTP,24.71,46.67,Influenza B,6320.69,500000,False
2023-02-12,Central WWTP,24.71,46.67,Norovirus,4958.31,500000,False
2023-02-12,Central WWTP,24.71,46.67,Rotavirus,1135.71,500000,False
2023-02-13,Central WWTP,24.71,46.67,SARS-CoV-2,2518.62,500000,False
2023-02-13,Central WWTP,24.71,46.67,Influenza A,9231.68,500000,False
2023-02-13,Central WWTP,24.71,46.67,Influenza B,7054.62,500000,False
2023-02-13,Central WWTP,24.71,46.67,Norovirus,4336.1,500000,False
2023-02-13,Central WWTP,24.71,46.67,Rotavirus,1082.45,500000,False
2023-02-14,Central WWTP,24.71,46.67,SARS-CoV-2,2694.2,500000,False
2023-02-14,Central WWTP,24.71,46.67,Influenza A,8087.85,500000,False
2023-02-14,Central WWTP,24.71,46.67,Influenza B,6866.87,500000,False
2023-02-14,Central WWTP,24.71,46.67,Norovirus,4885.22,500000,False
2023-02-14,Central WWTP,24.71,46.67,Rotavirus,1141.12,500000,False
2023-02-15,Central WWTP,24.71,46.67,SARS-CoV-2,2337.66,500000,False
2023-02-15,Central WWTP,24.71,46.67,Influenza A,7801.35,500000,False
2023-02-15,Central WWTP,24.71,46.67,Influenza B,7888.99,500000,False
2023-02-15,Central WWTP,24.71,46.67,Norovirus,3648.09,500000,False
2023-02-15,Central WWTP,24.71,46.67,Rotavirus,1260.92,500000,False
2023-02-16,Central WWTP,24.71,46.67,SARS-CoV-2,2491.31,500000,False
2023-02-16,Central WWTP,24.71,46.67,Influenza A,6758.14,500000,False
2023-02-16,Central WWTP,24.71,46.67,Influenza B,7450.42,500000,False
2023-02-16,Central WWTP,24.71,46.67,Norovirus,4165.18,500000,False
2023-02-16,Central WWTP,24.71,46.67,Rotavirus,1312.62,500000,False
2023-02-17,Central WWTP,24.71,46.67,SARS-CoV-2,2690.0,500000,False
2023-02-17,Central WWTP,24.71,46.67,Influenza A,8404.0,500000,False
2023-02-17,Central WWTP,24.71,46.67,Influenza B,8607.34,500000,False
2023-02-17,Central WWTP,24.71,46.67,Norovirus,4683.48,500000,False
2023-02-17,Central WWTP,24.71,46.67,Rotavirus,1294.83,500000,False
2023-02-18,Central WWTP,24.71,46.67,SARS-CoV-2,2660.78,500000,False
2023-02-18,Central WWTP,24.71,46.67,Influenza A,6864.59,500000,False
2023-02-18,Central WWTP,24.71,46.67,Influenza B,7994.31,500000,False
2023-02-18,Central WWTP,24.71,46.67,Norovirus,4192.71,500000,False
2023-02-18,Central WWTP,24.71,46.67,Rotavirus,1299.95,500000,False
2023-02-19,Central WWTP,24.71,46.67,SARS-CoV-2,2500.52,500000,False
2023-02-19,Central WWTP,24.71,46.67,Influenza A,6957.59,500000,False
2023-02-19,Central WWTP,24.71,46.67,Influenza B,6014.51,500000,False
2023-02-19,Central WWTP,24.71,46.67,Norovirus,4040.93,500000,False
2023-02-19,Central WWTP,24.71,46.67,Rotavirus,1212.63,500000,False
2023-02-20,Central WWTP,24.71,46.67,SARS-CoV-2,2200.19,500000,False
2023-02-20,Central WWTP,24.71,46.67,Influenza A,7821.87,500000,False
2023-02-20,Central WWTP,24.71,46.67,Influenza B,7637.1,500000,False
2023-02-20,Central WWTP,24.71,46.67,Norovirus,4193.25,500000,False
2023-02-20,Central WWTP,24.71,46.67,Rotavirus,1236.75,500000,False
2023-02-21,Central WWTP,24.71,46.67,SARS-CoV-2,2376.85,500000,False
2023-02-21,Central WWTP,24.71,46.67,Influenza A,6819.51,500000,False
2023-02-21,Central WWTP,24.71,46.67,Influenza B,7027.88,500000,False
2023-02-21,Central WWTP,24.71,46.67,Norovirus,4477.81,500000,False
2023-02-21,Central WWTP,24.71,46.67,Rotavirus,1247.64,500000,False
2023-02-22,Central WWTP,24.71,46.67,SARS-CoV-2,2343.38,500000,False
2023-02-22,Central WWTP,24.71,46.67,Influenza A,7889.88,500000,False
2023-02-22,Central WWTP,24.71,46.67,Influenza B,6941.96,500000,False
2023-02-22,Central WWTP,24.71,46.67,Norovirus,4451.95,500000,False
2023-02-22,Central WWTP,24.71,46.67,Rotavirus,1306.43,500000,False
2023-02-23,Central WWTP,24.71,46.67,SARS-CoV-2,2443.07,500000,False
2023-02-23,Central WWTP,24.71,46.67,Influenza A,6436.85,500000,False
2023-02-23,Central WWTP,24.71,46.67,Influenza B,6840.15,500000,False
2023-02-23,Central WWTP,24.71,46.67,Norovirus,4143.36,500000,False
2023-02-23,Central WWTP,24.71,46.67,Rotavirus,1133.48,500000,False
2023-02-24,Central WWTP,24.71,46.67,SARS-CoV-2,2675.91,500000,False
2023-02-24,Central WWTP,24.71,46.67,Influenza A,7577.19,500000,False
2023-02-24,Central WWTP,24.71,46.67,Influenza B,7754.82,500000,False
2023-02-24,Central WWTP,24.71,46.67,Norovirus,3975.51,500000,False
2023-02-24,Central WWTP,24.71,46.67,Rotavirus,1171.74,500000,False
2023-02-25,Central WWTP,24.71,46.67,SARS-CoV-2,2521.07,500000,False
2023-02-25,Central WWTP,24.71,46.67,Influenza A,5976.66,500000,False
2023-02-25,Central WWTP,24.71,46.67,Influenza B,7362.63,500000,False
2023-02-25,Central WWTP,24.71,46.67,Norovirus,3960.0,500000,False
2023-02-25,Central WWTP,24.71,46.67,Rotavirus,1327.0,500000,False
2023-02-26,Central WWTP,24.71,46.67,SARS-CoV-2,2658.42,500000,False
2023-02-26,Central WWTP,24.71,46.67,Influenza A,7568.3,500000,False
2023-02-26,Central WWTP,24.71,46.67,Influenza B,8178.73,500000,False
2023-02-26,Central WWTP,24.71,46.67,Norovirus,3859.19,500000,False
2023-02-26,Central WWTP,24.71,46.67,Rotavirus,1325.63,500000,False
2023-02-27,Central WWTP,24.71,46.67,SARS-CoV-2,2244.84,500000,False
2023-02-27,Central WWTP,24.71,46.67,Influenza A,6931.47,500000,False
2023-02-27,Central WWTP,24.71,46.67,Influenza B,6093.37,500000,False
2023-02-27,Central WWTP,24.71,46.67,Norovirus,4556.95,500000,False
2023-02-27,Central WWTP,24.71,46.67,Rotavirus,1149.98,500000,False
2023-02-28,Central WWTP,24.71,46.67,SARS-CoV-2,2632.61,500000,False
2023-02-28,Central WWTP,24.71,46.67,Influenza A,7485.01,500000,False
2023-02-28,Central WWTP,24.71,46.67,Influenza B,6865.31,500000,False
2023-02-28,Central WWTP,24.71,46.67,Norovirus,4308.67,500000,False
2023-02-28,Central WWTP,24.71,46.67,Rotavirus,1441.23,500000,False
2023-03-01,Central WWTP,24.71,46.67,SARS-CoV-2,2776.99,500000,False
2023-03-01,Central WWTP,24.71,46.67,Influenza A,7698.03,500000,False
2023-03-01,Central WWTP,24.71,46.67,Influenza B,7621.98,500000,False
2023-03-01,Central WWTP,24.71,46.67,Norovirus,4470.25,500000,False
2023-03-01,Central WWTP,24.71,46.67,Rotavirus,1310.18,500000,False
2023-03-02,Central WWTP,24.71,46.67,SARS-CoV-2,2283.76,500000,False
2023-03-02,Central WWTP,24.71,46.67,Influenza A,6446.71,500000,False
2023-03-02,Central WWTP,24.71,46.67,Influenza B,7335.85,500000,False
2023-03-02,Central WWTP,24.71,46.67,Norovirus,4403.2,500000,False
2023-03-02,Central WWTP,24.71,46.67,Rotavirus,1444.02,500000,False
2023-03-03,Central WWTP,24.71,46.67,SARS-CoV-2,2452.99,500000,False
2023-03-03,Central WWTP,24.71,46.67,Influenza A,6360.27,500000,False
2023-03-03,Central WWTP,24.71,46.67,Influenza B,5970.55,500000,False
2023-03-03,Central WWTP,24.71,46.67,Norovirus,4334.82,500000,False
2023-03-03,Central WWTP,24.71,46.67,Rotavirus,1340.55,500000,False
2023-03-04,Central WWTP,24.71,46.67,SARS-CoV-2,2497.06,500000,False
2023-03-04,Central WWTP,24.71,46.67,Influenza A,6277.2,500000,False
2023-03-04,Central WWTP,24.71,46.67,Influenza B,6506.97,500000,False
2023-03-04,Central WWTP,24.71,46.67,Norovirus,4212.02,500000,False
2023-03-04,Central WWTP,24.71,46.67,Rotavirus,1334.67,500000,False
2023-03-05,Central WWTP,24.71,46.67,SARS-CoV-2,2514.93,500000,False
2023-03-05,Central WWTP,24.71,46.67,Influenza A,4807.85,500000,False
2023-03-05,Central WWTP,24.71,46.67,Influenza B,6656.47,500000,False
2023-03-05,Central WWTP,24.71,46.67,Norovirus,3851.35,500000,False
2023-03-05,Central WWTP,24.71,46.67,Rotavirus,1361.89,500000,False
2023-03-06,Central WWTP,24.71,46.67,SARS-CoV-2,2782.87,500000,False
2023-03-06,Central WWTP,24.71,46.67,Influenza A,6597.62,500000,False
2023-03-06,Central WWTP,24.71,46.67,Influenza B,6341.81,500000,False
2023-03-06,Central WWTP,24.71,46.67,Norovirus,4255.58,500000,False
2023-03-06,Central WWTP,24.71,46.67,Rotavirus,1015.27,500000,False
2023-03-07,Central WWTP,24.71,46.67,SARS-CoV-2,2695.18,500000,False
2023-03-07,Central WWTP,24.71,46.67,Influenza A,5724.92,500000,False
2023-03-07,Central WWTP,24.71,46.67,Influenza B,6232.36,500000,False
2023-03-07,Central WWTP,24.71,46.67,Norovirus,4247.71,500000,False
2023-03-07,Central WWTP,24.71,46.67,Rotavirus,1151.01,500000,False
2023-03-08,Central WWTP,24.71,46.67,SARS-CoV-2,2436.28,500000,False
2023-03-08,Central WWTP,24.71,46.67,Influenza A,6651.56,500000,False
2023-03-08,Central WWTP,24.71,46.67,Influenza B,7239.43,500000,False
2023-03-08,Central WWTP,24.71,46.67,Norovirus,4024.05,500000,False
2023-03-08,Central WWTP,24.71,46.67,Rotavirus,1233.69,500000,False
2023-03-09,Central WWTP,24.71,46.67,SARS-CoV-2,1609.31,500000,False
2023-03-09,Central WWTP,24.71,46.67,Influenza A,6826.58,500000,False
2023-03-09,Central WWTP,24.71,46.67,Influenza B,7510.54,500000,False
2023-03-09,Central WWTP,24.71,46.67,Norovirus,4351.51,500000,False
2023-03-09,Central WWTP,24.71,46.67,Rotavirus,1285.97,500000,False
2023-03-10,Central WWTP,24.71,46.67,SARS-CoV-2,2522.33,500000,False
2023-03-10,Central WWTP,24.71,46.67,Influenza A,6483.82,500000,False
2023-03-10,Central WWTP,24.71,46.67,Influenza B,5892.45,500000,False
2023-03-10,Central WWTP,24.71,46.67,Norovirus,3528.15,500000,False
2023-03-10,Central WWTP,24.71,46.67,Rotavirus,1227.83,500000,False
2023-03-11,Central WWTP,24.71,46.67,SARS-CoV-2,1988.64,500000,False
2023-03-11,Central WWTP,24.71,46.67,Influenza A,6550.19,500000,False
2023-03-11,Central WWTP,24.71,46.67,Influenza B,6213.4,500000,False
2023-03-11,Central WWTP,24.71,46.67,Norovirus,3128.52,500000,False
2023-03-11,Central WWTP,24.71,46.67,Rotavirus,1055.48,500000,False
2023-03-12,Central WWTP,24.71,46.67,SARS-CoV-2,2682.54,500000,False
2023-03-12,Central WWTP,24.71,46.67,Influenza A,6994.06,500000,False
2023-03-12,Central WWTP,24.71,46.67,Influenza B,7146.35,500000,False
2023-03-12,Central WWTP,24.71,46.67,Norovirus,3472.97,500000,False
2023-03-12,Central WWTP,24.71,46.67,Rotavirus,1232.1,500000,False
2023-03-13,Central WWTP,24.71,46.67,SARS-CoV-2,2579.16,500000,False
