Date,Medication,Units_Sold
2023-06-23,Tamiflu,99
2023-06-24,Tamiflu,100
2023-06-25,Tamiflu,118
2023-06-26,Tamiflu,127
2023-06-27,Tamiflu,144
2023-06-28,Tamiflu,126
2023-06-29,Tamiflu,103
2023-06-30,Tamiflu,93
2023-07-01,Tamiflu,91
2023-07-02,Tamiflu,111
2023-07-03,Tamiflu,130
2023-07-04,Tamiflu,129
2023-07-05,Tamiflu,112
2023-07-06,Tamiflu,91
2023-07-07,Tamiflu,89
2023-07-08,Tamiflu,91
2023-07-09,Tamiflu,106
2023-07-10,Tamiflu,117
2023-07-11,Tamiflu,126
2023-07-12,Tamiflu,111
2023-07-13,Tamiflu,91
2023-07-14,Tamiflu,82
2023-07-15,Tamiflu,88
2023-07-16,Tamiflu,115
2023-07-17,Tamiflu,135
2023-07-18,Tamiflu,158
2023-07-19,Tamiflu,161
2023-07-20,Tamiflu,128
2023-07-21,Tamiflu,109
2023-07-22,Tamiflu,98
2023-07-23,Tamiflu,104
2023-07-24,Tamiflu,112
2023-07-25,Tamiflu,109
2023-07-26,Tamiflu,102
2023-07-27,Tamiflu,86
2023-07-28,Tamiflu,66
2023-07-29,Tamiflu,74
2023-07-30,Tamiflu,87
2023-07-31,Tamiflu,94
2023-08-01,Tamiflu,100
2023-08-02,Tamiflu,98
2023-08-03,Tamiflu,82
2023-08-04,Tamiflu,60
2023-08-05,Tamiflu,73
2023-08-06,Tamiflu,76
2023-08-07,Tamiflu,93
2023-08-08,Tamiflu,97
2023-08-09,Tamiflu,91
2023-08-10,Tamiflu,72
2023-08-11,Tamiflu,58
2023-08-12,Tamiflu,60
2023-08-13,Tamiflu,78
2023-08-14,Tamiflu,86
2023-08-15,Tamiflu,89
2023-08-16,Tamiflu,87
2023-08-17,Tamiflu,70
2023-08-18,Tamiflu,67
2023-08-19,Tamiflu,56
2023-08-20,Tamiflu,69
2023-08-21,Tamiflu,84
2023-08-22,Tamiflu,94
2023-08-23,Tamiflu,72
2023-08-24,Tamiflu,64
2023-08-25,Tamiflu,62
2023-08-26,Tamiflu,58
2023-08-27,Tamiflu,72
2023-08-28,Tamiflu,87
2023-08-29,Tamiflu,81
2023-08-30,Tamiflu,73
2023-08-31,Tamiflu,63
2023-09-01,Tamiflu,47
2023-09-02,Tamiflu,46
2023-09-03,Tamiflu,64
2023-09-04,Tamiflu,69
2023-09-05,Tamiflu,79
2023-09-06,Tamiflu,68
2023-09-07,Tamiflu,61
2023-09-08,Tamiflu,42
2023-09-09,Tamiflu,55
2023-09-10,Tamiflu,48
2023-09-11,Tamiflu,62
2023-09-12,Tamiflu,73
2023-09-13,Tamiflu,60
2023-09-14,Tamiflu,50
2023-09-15,Tamiflu,46
2023-09-16,Tamiflu,55
2023-09-17,Tamiflu,46
2023-09-18,Tamiflu,70
2023-09-19,Tamiflu,72
2023-09-20,Tamiflu,57
2023-09-21,Tamiflu,46
2023-09-22,Tamiflu,43
2023-09-23,Tamiflu,42
2023-09-24,Tamiflu,55
2023-09-25,Tamiflu,64
2023-09-26,Tamiflu,55
2023-09-27,Tamiflu,52
2023-09-28,Tamiflu,42
2023-09-29,Tamiflu,43
2023-09-30,Tamiflu,48
2023-10-01,Tamiflu,48
2023-10-02,Tamiflu,72
2023-10-03,Tamiflu,72
2023-10-04,Tamiflu,84
2023-10-05,Tamiflu,67
2023-10-06,Tamiflu,55
2023-10-07,Tamiflu,62
2023-10-08,Tamiflu,67
2023-10-09,Tamiflu,51
2023-10-10,Tamiflu,64
2023-10-11,Tamiflu,55
2023-10-12,Tamiflu,49
2023-10-13,Tamiflu,33
2023-10-14,Tamiflu,36
2023-10-15,Tamiflu,46
2023-10-16,Tamiflu,58
2023-10-17,Tamiflu,56
2023-10-18,Tamiflu,52
2023-10-19,Tamiflu,49
2023-10-20,Tamiflu,50
2023-10-21,Tamiflu,46
2023-10-22,Tamiflu,54
2023-10-23,Tamiflu,57
2023-10-24,Tamiflu,55
2023-10-25,Tamiflu,53
2023-10-26,Tamiflu,45
2023-10-27,Tamiflu,35
2023-10-28,Tamiflu,47
2023-10-29,Tamiflu,58
2023-10-30,Tamiflu,59
2023-10-31,Tamiflu,66
2023-11-01,Tamiflu,62
2023-11-02,Tamiflu,42
2023-11-03,Tamiflu,33
2023-11-04,Tamiflu,41
2023-11-05,Tamiflu,53
2023-11-06,Tamiflu,55
2023-11-07,Tamiflu,70
2023-11-08,Tamiflu,68
2023-11-09,Tamiflu,50
2023-11-10,Tamiflu,38
2023-11-11,Tamiflu,48
2023-11-12,Tamiflu,50
2023-11-13,Tamiflu,69
2023-11-14,Tamiflu,65
2023-11-15,Tamiflu,64
2023-11-16,Tamiflu,56
2023-11-17,Tamiflu,48
2023-11-18,Tamiflu,57
2023-11-19,Tamiflu,58
2023-11-20,Tamiflu,65
2023-11-21,Tamiflu,59
2023-11-22,Tamiflu,53
2023-11-23,Tamiflu,57
2023-11-24,Tamiflu,47
2023-11-25,Tamiflu,47
2023-11-26,Tamiflu,55
2023-11-27,Tamiflu,75
2023-11-28,Tamiflu,69
2023-11-29,Tamiflu,76
2023-11-30,Tamiflu,70
2023-12-01,Tamiflu,47
2023-12-02,Tamiflu,58
2023-12-03,Tamiflu,67
2023-12-04,Tamiflu,71
2023-12-05,Tamiflu,75
2023-12-06,Tamiflu,72
2023-12-07,Tamiflu,56
2023-12-08,Tamiflu,60
2023-12-09,Tamiflu,57
2023-12-10,Tamiflu,64
2023-12-11,Tamiflu,81
2023-12-12,Tamiflu,87
2023-12-13,Tamiflu,75
2023-12-14,Tamiflu,56
2023-12-15,Tamiflu,60
2023-12-16,Tamiflu,56
2023-12-17,Tamiflu,71
2023-12-18,Tamiflu,90
2023-12-19,Tamiflu,88
2023-12-20,Tamiflu,83
2023-12-21,Tamiflu,78
2023-12-22,Tamiflu,61
2023-12-23,Tamiflu,77
2023-12-24,Tamiflu,84
2023-12-25,Tamiflu,89
2023-12-26,Tamiflu,95
2023-12-27,Tamiflu,84
2023-12-28,Tamiflu,79
2023-12-29,Tamiflu,74
2023-12-30,Tamiflu,70
2023-12-31,Tamiflu,77
2023-01-01,Xofluza,89
2023-01-02,Xofluza,97
2023-01-03,Xofluza,102
2023-01-04,Xofluza,99
2023-01-05,Xofluza,88
2023-01-06,Xofluza,77
2023-01-07,Xofluza,80
2023-01-08,Xofluza,92
2023-01-09,Xofluza,102
2023-01-10,Xofluza,115
2023-01-11,Xofluza,107
2023-01-12,Xofluza,85
2023-01-13,Xofluza,76
2023-01-14,Xofluza,88
2023-01-15,Xofluza,97
2023-01-16,Xofluza,114
2023-01-17,Xofluza,120
2023-01-18,Xofluza,113
2023-01-19,Xofluza,95
2023-01-20,Xofluza,84
2023-01-21,Xofluza,95
2023-01-22,Xofluza,103
2023-01-23,Xofluza,117
2023-01-24,Xofluza,132
2023-01-25,Xofluza,118
2023-01-26,Xofluza,96
2023-01-27,Xofluza,86
2023-01-28,Xofluza,86
2023-01-29,Xofluza,112
2023-01-30,Xofluza,122
2023-01-31,Xofluza,138
2023-02-01,Xofluza,120
2023-02-02,Xofluza,97
2023-02-03,Xofluza,98
2023-02-04,Xofluza,109
2023-02-05,Xofluza,119
2023-02-06,Xofluza,134
2023-02-07,Xofluza,136
2023-02-08,Xofluza,130
2023-02-09,Xofluza,112
2023-02-10,Xofluza,97
2023-02-11,Xofluza,107
2023-02-12,Xofluza,129
2023-02-13,Xofluza,136
2023-02-14,Xofluza,149
2023-02-15,Xofluza,125
2023-02-16,Xofluza,110
2023-02-17,Xofluza,105
2023-02-18,Xofluza,106
2023-02-19,Xofluza,119
2023-02-20,Xofluza,153
2023-02-21,Xofluza,151
2023-02-22,Xofluza,145
2023-02-23,Xofluza,121
2023-02-24,Xofluza,101
2023-02-25,Xofluza,115
2023-02-26,Xofluza,134
2023-02-27,Xofluza,154
2023-02-28,Xofluza,157
2023-03-01,Xofluza,140
2023-03-02,Xofluza,121
2023-03-03,Xofluza,106
2023-03-04,Xofluza,119
2023-03-05,Xofluza,128
2023-03-06,Xofluza,166
2023-03-07,Xofluza,172
2023-03-08,Xofluza,147
2023-03-09,Xofluza,133
2023-03-10,Xofluza,107
2023-03-11,Xofluza,123
2023-03-12,Xofluza,136
2023-03-13,Xofluza,168
2023-03-14,Xofluza,161
2023-03-15,Xofluza,159
2023-03-16,Xofluza,136
2023-03-17,Xofluza,107
2023-03-18,Xofluza,129
2023-03-19,Xofluza,148
2023-03-20,Xofluza,156
2023-03-21,Xofluza,170
2023-03-22,Xofluza,162
2023-03-23,Xofluza,136
2023-03-24,Xofluza,117
2023-03-25,Xofluza,127
2023-03-26,Xofluza,142
2023-03-27,Xofluza,169
2023-03-28,Xofluza,171
2023-03-29,Xofluza,160
2023-03-30,Xofluza,139
2023-03-31,Xofluza,122
2023-04-01,Xofluza,126
2023-04-02,Xofluza,153
2023-04-03,Xofluza,177
2023-04-04,Xofluza,186
2023-04-05,Xofluza,167
2023-04-06,Xofluza,139
2023-04-07,Xofluza,124
2023-04-08,Xofluza,127
2023-04-09,Xofluza,148
2023-04-10,Xofluza,177
2023-04-11,Xofluza,182
2023-04-12,Xofluza,164
2023-04-13,Xofluza,135
2023-04-14,Xofluza,119
2023-04-15,Xofluza,124
2023-04-16,Xofluza,156
2023-04-17,Xofluza,179
2023-04-18,Xofluza,184
2023-04-19,Xofluza,157
2023-04-20,Xofluza,135
2023-04-21,Xofluza,119
2023-04-22,Xofluza,123
2023-04-23,Xofluza,159
2023-04-24,Xofluza,175
2023-04-25,Xofluza,180
2023-04-26,Xofluza,160
2023-04-27,Xofluza,140
2023-04-28,Xofluza,131
2023-04-29,Xofluza,126
2023-04-30,Xofluza,147
2023-05-01,Xofluza,171
2023-05-02,Xofluza,175
2023-05-03,Xofluza,161
2023-05-04,Xofluza,132
2023-05-05,Xofluza,114
2023-05-06,Xofluza,124
2023-05-07,Xofluza,147
2023-05-08,Xofluza,168
2023-05-09,Xofluza,182
2023-05-10,Xofluza,160
2023-05-11,Xofluza,136
2023-05-12,Xofluza,120
2023-05-13,Xofluza,122
2023-05-14,Xofluza,145
2023-05-15,Xofluza,162
2023-05-16,Xofluza,175
2023-05-17,Xofluza,154
2023-05-18,Xofluza,127
2023-05-19,Xofluza,121
2023-05-20,Xofluza,113
2023-05-21,Xofluza,150
2023-05-22,Xofluza,171
2023-05-23,Xofluza,167
2023-05-24,Xofluza,161
2023-05-25,Xofluza,123
2023-05-26,Xofluza,117
2023-05-27,Xofluza,117
2023-05-28,Xofluza,129
2023-05-29,Xofluza,155
2023-05-30,Xofluza,162
2023-05-31,Xofluza,152
2023-06-01,Xofluza,121
2023-06-02,Xofluza,107
2023-06-03,Xofluza,116
2023-06-04,Xofluza,136
2023-06-05,Xofluza,153
2023-06-06,Xofluza,157
2023-06-07,Xofluza,148
2023-06-08,Xofluza,118
2023-06-09,Xofluza,99
2023-06-10,Xofluza,107
2023-06-11,Xofluza,132
2023-06-12,Xofluza,148
2023-06-13,Xofluza,150
2023-06-14,Xofluza,132
2023-06-15,Xofluza,114
2023-06-16,Xofluza,102
2023-06-17,Xofluza,100
2023-06-18,Xofluza,123
2023-06-19,Xofluza,137
2023-06-20,Xofluza,146
2023-06-21,Xofluza,141
2023-06-22,Xofluza,111
2023-06-23,Xofluza,89
2023-06-24,Xofluza,102
2023-06-25,Xofluza,125
2023-06-26,Xofluza,129
2023-06-27,Xofluza,134
2023-06-28,Xofluza,127
2023-06-29,Xofluza,105
2023-06-30,Xofluza,98
2023-07-01,Xofluza,95
2023-07-02,Xofluza,117
2023-07-03,Xofluza,137
2023-07-04,Xofluza,128
2023-07-05,Xofluza,124
2023-07-06,Xofluza,98
2023-07-07,Xofluza,76
2023-07-08,Xofluza,93
2023-07-09,Xofluza,110
2023-07-10,Xofluza,115
2023-07-11,Xofluza,123
2023-07-12,Xofluza,110
2023-07-13,Xofluza,98
2023-07-14,Xofluza,75
2023-07-15,Xofluza,86
2023-07-16,Xofluza,89
2023-07-17,Xofluza,118
2023-07-18,Xofluza,119
2023-07-19,Xofluza,104
2023-07-20,Xofluza,96
2023-07-21,Xofluza,64
2023-07-22,Xofluza,81
2023-07-23,Xofluza,101
2023-07-24,Xofluza,109
2023-07-25,Xofluza,118
2023-07-26,Xofluza,98
2023-07-27,Xofluza,83
2023-07-28,Xofluza,79
2023-07-29,Xofluza,80
2023-07-30,Xofluza,101
2023-07-31,Xofluza,102
2023-08-01,Xofluza,105
2023-08-02,Xofluza,92
2023-08-03,Xofluza,77
2023-08-04,Xofluza,73
2023-08-05,Xofluza,71
2023-08-06,Xofluza,79
2023-08-07,Xofluza,93
2023-08-08,Xofluza,97
2023-08-09,Xofluza,84
2023-08-10,Xofluza,71
2023-08-11,Xofluza,59
2023-08-12,Xofluza,64
2023-08-13,Xofluza,83
2023-08-14,Xofluza,89
2023-08-15,Xofluza,103
2023-08-16,Xofluza,78
2023-08-17,Xofluza,70
2023-08-18,Xofluza,60
2023-08-19,Xofluza,65
2023-08-20,Xofluza,69
2023-08-21,Xofluza,81
2023-08-22,Xofluza,87
2023-08-23,Xofluza,74
2023-08-24,Xofluza,54
2023-08-25,Xofluza,62
2023-08-26,Xofluza,62
2023-08-27,Xofluza,65
2023-08-28,Xofluza,78
2023-08-29,Xofluza,84
2023-08-30,Xofluza,78
2023-08-31,Xofluza,60
2023-09-01,Xofluza,49
2023-09-02,Xofluza,61
2023-09-03,Xofluza,63
2023-09-04,Xofluza,72
2023-09-05,Xofluza,75
2023-09-06,Xofluza,72
2023-09-07,Xofluza,55
2023-09-08,Xofluza,53
2023-09-09,Xofluza,49
2023-09-10,Xofluza,62
2023-09-11,Xofluza,63
2023-09-12,Xofluza,75
2023-09-13,Xofluza,59
2023-09-14,Xofluza,55
2023-09-15,Xofluza,38
2023-09-16,Xofluza,48
2023-09-17,Xofluza,57
2023-09-18,Xofluza,61
2023-09-19,Xofluza,65
2023-09-20,Xofluza,61
2023-09-21,Xofluza,52
2023-09-22,Xofluza,44
2023-09-23,Xofluza,52
2023-09-24,Xofluza,59
2023-09-25,Xofluza,61
2023-09-26,Xofluza,56
2023-09-27,Xofluza,55
2023-09-28,Xofluza,36
2023-09-29,Xofluza,41
2023-09-30,Xofluza,50
2023-10-01,Xofluza,55
2023-10-02,Xofluza,60
2023-10-03,Xofluza,57
2023-10-04,Xofluza,56
2023-10-05,Xofluza,57
2023-10-06,Xofluza,48
2023-10-07,Xofluza,42
2023-10-08,Xofluza,43
2023-10-09,Xofluza,69
2023-10-10,Xofluza,56
2023-10-11,Xofluza,57
2023-10-12,Xofluza,38
2023-10-13,Xofluza,38
2023-10-14,Xofluza,34
2023-10-15,Xofluza,44
2023-10-16,Xofluza,53
2023-10-17,Xofluza,62
2023-10-18,Xofluza,53
2023-10-19,Xofluza,59
2023-10-20,Xofluza,45
2023-10-21,Xofluza,48
2023-10-22,Xofluza,52
2023-10-23,Xofluza,59
2023-10-24,Xofluza,66
2023-10-25,Xofluza,42
2023-10-26,Xofluza,43
2023-10-27,Xofluza,34
2023-10-28,Xofluza,33
2023-10-29,Xofluza,47
2023-10-30,Xofluza,53
2023-10-31,Xofluza,67
2023-11-01,Xofluza,56
2023-11-02,Xofluza,37
2023-11-03,Xofluza,43
2023-11-04,Xofluza,39
2023-11-05,Xofluza,53
2023-11-06,Xofluza,63
2023-11-07,Xofluza,59
2023-11-08,Xofluza,59
2023-11-09,Xofluza,51
2023-11-10,Xofluza,42
2023-11-11,Xofluza,42
2023-11-12,Xofluza,55
2023-11-13,Xofluza,63
2023-11-14,Xofluza,68
2023-11-15,Xofluza,59
2023-11-16,Xofluza,45
2023-11-17,Xofluza,45
2023-11-18,Xofluza,50
2023-11-19,Xofluza,58
2023-11-20,Xofluza,67
2023-11-21,Xofluza,67
2023-11-22,Xofluza,61
2023-11-23,Xofluza,52
2023-11-24,Xofluza,54
2023-11-25,Xofluza,46
2023-11-26,Xofluza,61
2023-11-27,Xofluza,65
2023-11-28,Xofluza,78
2023-11-29,Xofluza,66
2023-11-30,Xofluza,54
2023-12-01,Xofluza,52
2023-12-02,Xofluza,42
2023-12-03,Xofluza,59
2023-12-04,Xofluza,78
2023-12-05,Xofluza,85
2023-12-06,Xofluza,75
2023-12-07,Xofluza,63
2023-12-08,Xofluza,67
2023-12-09,Xofluza,61
2023-12-10,Xofluza,65
2023-12-11,Xofluza,87
2023-12-12,Xofluza,82
2023-12-13,Xofluza,75
2023-12-14,Xofluza,59
2023-12-15,Xofluza,57
2023-12-16,Xofluza,56
2023-12-17,Xofluza,78
2023-12-18,Xofluza,87
2023-12-19,Xofluza,84
2023-12-20,Xofluza,83
2023-12-21,Xofluza,76
2023-12-22,Xofluza,71
2023-12-23,Xofluza,58
2023-12-24,Xofluza,76
2023-12-25,Xofluza,87
2023-12-26,Xofluza,100
2023-12-27,Xofluza,83
2023-12-28,Xofluza,81
2023-12-29,Xofluza,74
2023-12-30,Xofluza,76
2023-12-31,Xofluza,82
2023-01-01,Relenza,83
2023-01-02,Relenza,99
2023-01-03,Relenza,111
2023-01-04,Relenza,89
2023-01-05,Relenza,84
2023-01-06,Relenza,68
2023-01-07,Relenza,75
2023-01-08,Relenza,96
2023-01-09,Relenza,101
2023-01-10,Relenza,111
2023-01-11,Relenza,103
2023-01-12,Relenza,87
2023-01-13,Relenza,77
2023-01-14,Relenza,85
2023-01-15,Relenza,96
2023-01-16,Relenza,117
2023-01-17,Relenza,122
2023-01-18,Relenza,111
2023-01-19,Relenza,96
2023-01-20,Relenza,84
2023-01-21,Relenza,87
2023-01-22,Relenza,98
2023-01-23,Relenza,129
2023-01-24,Relenza,136
2023-01-25,Relenza,115
2023-01-26,Relenza,101
2023-01-27,Relenza,85
2023-01-28,Relenza,89
2023-01-29,Relenza,111
2023-01-30,Relenza,143
2023-01-31,Relenza,142
2023-02-01,Relenza,130
2023-02-02,Relenza,107
2023-02-03,Relenza,88
2023-02-04,Relenza,103
2023-02-05,Relenza,102
2023-02-06,Relenza,138
2023-02-07,Relenza,147
2023-02-08,Relenza,130
2023-02-09,Relenza,117
2023-02-10,Relenza,90
2023-02-11,Relenza,110
2023-02-12,Relenza,121
2023-02-13,Relenza,149
2023-02-14,Relenza,153
2023-02-15,Relenza,143
2023-02-16,Relenza,119
2023-02-17,Relenza,105
2023-02-18,Relenza,113
2023-02-19,Relenza,127
2023-02-20,Relenza,151
2023-02-21,Relenza,154
2023-02-22,Relenza,137
2023-02-23,Relenza,121
2023-02-24,Relenza,106
2023-02-25,Relenza,117
2023-02-26,Relenza,131
2023-02-27,Relenza,150
2023-02-28,Relenza,166
2023-03-01,Relenza,146
2023-03-02,Relenza,119
2023-03-03,Relenza,116
2023-03-04,Relenza,119
2023-03-05,Relenza,146
2023-03-06,Relenza,157
2023-03-07,Relenza,162
2023-03-08,Relenza,145
2023-03-09,Relenza,124
2023-03-10,Relenza,110
2023-03-11,Relenza,121
2023-03-12,Relenza,135
2023-03-13,Relenza,159
2023-03-14,Relenza,177
2023-03-15,Relenza,139
2023-03-16,Relenza,132
2023-03-17,Relenza,108
2023-03-18,Relenza,116
2023-03-19,Relenza,150
2023-03-20,Relenza,167
2023-03-21,Relenza,186
2023-03-22,Relenza,160
2023-03-23,Relenza,128
2023-03-24,Relenza,120
2023-03-25,Relenza,128
2023-03-26,Relenza,148
2023-03-27,Relenza,168
2023-03-28,Relenza,167
2023-03-29,Relenza,158
2023-03-30,Relenza,143
2023-03-31,Relenza,115
2023-04-01,Relenza,122
2023-04-02,Relenza,153
2023-04-03,Relenza,174
2023-04-04,Relenza,171
2023-04-05,Relenza,161
2023-04-06,Relenza,143
2023-04-07,Relenza,120
2023-04-08,Relenza,133
2023-04-09,Relenza,156
2023-04-10,Relenza,168
2023-04-11,Relenza,177
2023-04-12,Relenza,166
2023-04-13,Relenza,129
2023-04-14,Relenza,119
2023-04-15,Relenza,129
2023-04-16,Relenza,146
2023-04-17,Relenza,176
2023-04-18,Relenza,176
2023-04-19,Relenza,159
2023-04-20,Relenza,140
2023-04-21,Relenza,127
2023-04-22,Relenza,122
2023-04-23,Relenza,143
2023-04-24,Relenza,172
2023-04-25,Relenza,181
2023-04-26,Relenza,158
2023-04-27,Relenza,144
2023-04-28,Relenza,119
2023-04-29,Relenza,122
2023-04-30,Relenza,158
2023-05-01,Relenza,178
2023-05-02,Relenza,173
2023-05-03,Relenza,166
2023-05-04,Relenza,131
2023-05-05,Relenza,122
2023-05-06,Relenza,133
2023-05-07,Relenza,141
2023-05-08,Relenza,167
2023-05-09,Relenza,172
2023-05-10,Relenza,160
2023-05-11,Relenza,135
2023-05-12,Relenza,116
2023-05-13,Relenza,114
2023-05-14,Relenza,138
2023-05-15,Relenza,162
2023-05-16,Relenza,174
2023-05-17,Relenza,149
2023-05-18,Relenza,126
2023-05-19,Relenza,109
2023-05-20,Relenza,121
2023-05-21,Relenza,147
2023-05-22,Relenza,164
2023-05-23,Relenza,178
2023-05-24,Relenza,153
2023-05-25,Relenza,127
2023-05-26,Relenza,108
2023-05-27,Relenza,118
2023-05-28,Relenza,134
2023-05-29,Relenza,154
2023-05-30,Relenza,158
2023-05-31,Relenza,147
2023-06-01,Relenza,121
2023-06-02,Relenza,122
2023-06-03,Relenza,114
2023-06-04,Relenza,135
2023-06-05,Relenza,151
2023-06-06,Relenza,173
2023-06-07,Relenza,138
2023-06-08,Relenza,117
2023-06-09,Relenza,110
2023-06-10,Relenza,110
2023-06-11,Relenza,123
2023-06-12,Relenza,148
2023-06-13,Relenza,156
2023-06-14,Relenza,140
2023-06-15,Relenza,118
2023-06-16,Relenza,112
2023-06-17,Relenza,106
2023-06-18,Relenza,128
2023-06-19,Relenza,130
2023-06-20,Relenza,156
2023-06-21,Relenza,132
2023-06-22,Relenza,106
2023-06-23,Relenza,96
2023-06-24,Relenza,104
2023-06-25,Relenza,124
2023-06-26,Relenza,136
2023-06-27,Relenza,143
2023-06-28,Relenza,125
2023-06-29,Relenza,108
2023-06-30,Relenza,93
2023-07-01,Relenza,97
2023-07-02,Relenza,111
2023-07-03,Relenza,131
2023-07-04,Relenza,129
2023-07-05,Relenza,121
2023-07-06,Relenza,97
2023-07-07,Relenza,82
2023-07-08,Relenza,87
